GEOID,residuals_deviance
44001030100,-1.1146260123033929
44001030200,1.518116341700016
44001030300,-1.098259634870633
44001030500,0.40911646621705616
44001030601,-0.3190330373990336
44001030602,-0.5050308881331589
44001030700,0.8941444458226376
44001030800,-0.6639713995409503
44001030901,-0.20454867853065287
44001030902,-2.1172755752434327
44003020101,-0.47984284032153113
44003020102,1.503544402175814
44003020200,0.35361067712139366
44003020300,-1.0920902952287468
44003020400,0.05309662549313057
44003020500,-1.1586480021837662
44003020601,1.1302239073175258
44003020602,1.5261157915725558
44003020603,0.516844538334527
44003020701,2.1196380381684876
44003020702,-1.250287998545587
44003020703,-1.1875733833324569
44003020800,0.7502255434825841
44003020901,-0.29061437429764925
44003020903,0.6301960634096495
44003021001,-0.29890882556623566
44003021002,-1.3027350552834915
44003021100,0.8491454501056489
44003021200,-0.8375326037822541
44003021300,0.6494065397200233
44003021401,-0.8109213514007723
44003021402,-0.06391649936050037
44003021502,0.3816889609451258
44003021600,0.09501491447338291
44003021700,0.2556951732008228
44003021800,0.22984336727800012
44003021901,-0.6804846766814697
44003021902,0.7917339516197046
44003022000,-1.165414470583952
44003022100,0.04351939065898341
44003022201,-1.0787774615632537
44003022300,0.5011307805061137
44003022400,-0.40319971623718553
44005040101,0.038215270695560154
44005040400,-0.4104505739141388
44005040500,-0.3839495514019484
44005040600,-0.6392685583033593
44005040700,-0.2504393084902105
44005040800,0.3089146163801347
44005040900,-1.1008164590508813
44005041000,0.06264342215558563
44005041100,1.7368593934532728
44005041300,3.1462172675652704
44005041400,-0.12783699638248486
44005041601,0.04856803033702283
44005041602,0.3799335520200745
44005041702,-1.4405448094692774
44007000101,0.3960366615292045
44007000102,-1.2170869369629278
44007000400,0.7987921506178924
44007000500,-0.5586243312333389
44007000600,0.2558863363390062
44007000800,1.463591314971098
44007000900,-0.3536543110016032
44007001000,-0.4412956288556031
44007001100,-0.7019726542691024
44007001200,0.2820111780544105
44007001300,1.6175647987042152
44007001400,0.27999054217912883
44007001700,0.036651689306486025
44007001800,-1.5653597070396943
44007001900,0.7122092659051279
44007002000,-1.4381378359091712
44007002101,0.5060344376939477
44007002200,-0.1833457217389638
44007002300,-1.62107100328509
44007002500,-0.6669575822529759
44007002600,0.15313567796788588
44007002700,0.29473492619753
44007002801,0.829175268291839
44007002900,0.5887469199928873
44007003100,-0.5818460092669816
44007003300,0.6662569214724422
44007003500,1.416103754559134
44007003601,-1.0755430266089063
44007003700,-0.038999483530806185
44007010200,-0.48733116145275734
44007010300,-1.2051581538908964
44007010400,-1.157612191054272
44007010501,0.015312915184823118
44007010502,-1.5481608543879268
44007010600,-1.016488864340116
44007010701,-0.3061227600775753
44007010702,-0.9526559514314171
44007010800,-0.25103322556222724
44007010900,0.40751426772973
44007011000,-0.24549348146434422
44007011100,-0.03409611178071032
44007011200,-0.82863195978062
44007011301,0.13674558174042176
44007011302,-0.9272790313810592
44007011402,0.3563709284725097
44007011403,-0.16366269156679414
44007011404,-1.132417979880329
44007011500,1.3804560775408685
44007011600,0.6666596122419449
44007011701,1.0370375525903126
44007011800,-1.177422227275403
44007011902,-0.01062629475678123
44007012000,-0.9601000447286768
44007012102,-1.0527938406197692
44007012104,0.9668298941691228
44007012200,0.7055115864201987
44007012300,-1.2759756799440896
44007012401,1.499607018212873
44007012500,-0.8582012838877797
44007012601,-0.6030379058808996
44007012602,-0.314983424146529
44007012701,-1.3832263818897554
44007012702,1.1521611518605135
44007012801,1.011902768105636
44007012803,1.3672180599021344
44007012900,0.43594053805185895
44007013001,-0.8817606675697701
44007013002,-1.2703018430866373
44007013101,1.0571985539958266
44007013102,1.6829077123520337
44007013201,0.6032441129092347
44007013202,-1.5010405667647944
44007013300,1.4529678183029706
44007013400,-1.0165157980969957
44007013500,0.6017637095408318
44007013600,0.16423933133601432
44007013701,1.0776134534720974
44007013702,0.9552126028043701
44007013800,-1.3734245746558749
44007013900,0.001772455420187898
44007014000,-1.5354037441869801
44007014100,-0.36899389406367544
44007014200,3.425469758764573
44007014300,-0.5499768724430074
44007014400,-0.12998659854172911
44007014501,-0.16599770684041162
44007014502,-1.3566936845258817
44007014600,-1.7069330657235855
44007014700,-0.3359196316367165
44007014800,-0.7410993913049619
44007015000,-0.9092772627296174
44007015100,-1.0156902400162768
44007015200,-0.7526654916163594
44007015300,0.6330919234404487
44007015500,0.013862289979689826
44007015800,-0.25271611943615346
44007015900,-0.5473191880543876
44007016000,1.0907855118335241
44007016100,1.8789205447098634
44007016300,-0.4567437257209958
44007016400,-1.1000726971555144
44007016500,-0.12601967425271965
44007016600,0.0036036093290927273
44007016700,0.13946505292658495
44007016800,0.9430372076188165
44007016900,-0.15552427524175028
44007017000,0.2766969167644514
44007017100,0.11209337603631662
44007017300,-0.16675780651030817
44007017400,-0.23842792292016324
44007017500,1.7988936527151098
44007017600,0.39133770661415507
44007017700,-0.0765838664344745
44007017900,-0.7943043861909858
44007018000,-0.8459595725890289
44007018100,1.2168697038078287
44007018200,-0.3498244732395584
44007018400,0.22689916705136287
44007018500,0.20357511043343754
44009041500,1.743443254486714
44009050102,-0.5087792438076139
44009050103,0.6639067881322169
44009050104,0.48513449953911814
44009050301,-0.6576045041164338
44009050302,0.04665687748654889
44009050401,-0.5898626456396441
44009050402,-0.09481607114765517
44009050500,1.5602091230122246
44009050600,0.39300119790963456
44009050801,-0.19424532170971562
44009050902,1.3092646828966683
44009051000,-0.3758711227519952
44009051102,0.046430009161502236
44009051201,-1.2911581470890316
44009051202,-1.4557648057004906
44009051302,-0.15123265502626076
44009051304,-0.2643974117711706
44009051305,-0.08328446938761666
44009051306,-0.8641920715804365
44009051502,-1.7571751505639905
44009051503,0.20500279582394496
44009051504,-1.1901052102979115
